           x                  u
    0.1328671329E+00    0.2866985780E+02
    0.1338661339E+00    0.2872992793E+02
    0.1348651349E+00    0.2878993282E+02
    0.1358641359E+00    0.2884987270E+02
    0.1368631369E+00    0.2890974781E+02
    0.1378621379E+00    0.2896955837E+02
    0.1388611389E+00    0.2902930463E+02
    0.1398601399E+00    0.2908898680E+02
    0.1408591409E+00    0.2914860511E+02
    0.1418581419E+00    0.2920815981E+02
    0.1428571429E+00    0.2926765112E+02
    0.1438561439E+00    0.2932707926E+02
    0.1448551449E+00    0.2938644447E+02
    0.1458541459E+00    0.2944574698E+02
    0.1468531469E+00    0.2950498700E+02
    0.1478521479E+00    0.2956416477E+02
    0.1488511489E+00    0.2962328051E+02
    0.1498501499E+00    0.2968233446E+02
    0.1508491508E+00    0.2974132682E+02
    0.1518481518E+00    0.2980025784E+02
    0.1528471528E+00    0.2985912773E+02
    0.1538461538E+00    0.2991793671E+02
    0.1548451548E+00    0.2997668502E+02
    0.1558441558E+00    0.3003537286E+02
    0.1568431568E+00    0.3009400047E+02
    0.1578421578E+00    0.3015256806E+02
    0.1588411588E+00    0.3021107586E+02
    0.1598401598E+00    0.3026952408E+02
    0.1608391608E+00    0.3032791295E+02
    0.1618381618E+00    0.3038624268E+02
    0.1628371628E+00    0.3044451349E+02
    0.1638361638E+00    0.3050272561E+02
    0.1648351648E+00    0.3056087924E+02
    0.1658341658E+00    0.3061897460E+02
    0.1668331668E+00    0.3067701191E+02
    0.1678321678E+00    0.3073499139E+02
    0.1688311688E+00    0.3079291325E+02
    0.1698301698E+00    0.3085077770E+02
    0.1708291708E+00    0.3090858496E+02
    0.1718281718E+00    0.3096633524E+02
    0.1728271728E+00    0.3102402875E+02
    0.1738261738E+00    0.3108166571E+02
    0.1748251748E+00    0.3113924633E+02
    0.1758241758E+00    0.3119677081E+02
    0.1768231768E+00    0.3125423938E+02
    0.1778221778E+00    0.3131165222E+02
    0.1788211788E+00    0.3136900957E+02
    0.1798201798E+00    0.3142631161E+02
    0.1808191808E+00    0.3148355857E+02
    0.1818181818E+00    0.3154075065E+02
    0.1828171828E+00    0.3159788805E+02
